mode	family	name	batch	fortran_ns	native_ns	ratio	status
SAME	A0	A0_real	1	28.992	128.597	4.4356	FAIL
SAME	A0	A0_negative_axis	1	29.866	129.854	4.3479	FAIL
SAME	A0	A0_complex	1	66.629	151.843	2.2789	FAIL
SAME	A0	A0_scaleless	1	10.198	91.204	8.9436	FAIL
SAME	A0	A0_complex_mu_0.01	1	66.268	150.098	2.2650	FAIL
SAME	A0	A0_complex_mu_10000	1	66.219	149.134	2.2521	FAIL
HETERO	A0	all	1	46.415	131.057	2.8236	FAIL
SAME	B0	B0_euclidean	1	101.079	232.424	2.2994	FAIL
SAME	B0	B0_timelike	1	108.119	225.449	2.0852	FAIL
SAME	B0	B0_complex	1	277.402	343.655	1.2388	PASS
SAME	B0	B0_one_massless_onshell	1	32.783	160.027	4.8815	FAIL
SAME	B0	B0_scaleless	1	12.021	108.455	9.0222	FAIL
SAME	B0	B0_timelike_mu_0.01	1	110.169	225.669	2.0484	FAIL
SAME	B0	B0_timelike_mu_10000	1	110.435	229.513	2.0783	FAIL
HETERO	B0	all	1	109.234	219.769	2.0119	FAIL
SAME	dB0	dB0_euclidean	1	118.885	210.828	1.7734	FAIL
SAME	dB0	dB0_timelike	1	117.706	209.766	1.7821	FAIL
SAME	dB0	dB0_complex	1	232.993	400.133	1.7174	FAIL
SAME	dB0	dB0_one_massless_onshell	1	38.428	140.577	3.6582	FAIL
SAME	dB0	dB0_timelike_mu_0.01	1	119.407	223.559	1.8722	FAIL
SAME	dB0	dB0_timelike_mu_10000	1	119.295	221.426	1.8561	FAIL
HETERO	dB0	all	1	124.626	236.798	1.9001	FAIL
SAME	C0	C0_real_euclidean	1	3340.030	4164.895	1.2470	PASS
SAME	C0	C0_real_timelike	1	2024.792	3729.670	1.8420	FAIL
SAME	C0	C0_complex	1	3452.840	4530.784	1.3122	PASS
SAME	C0	C0_massless_ir	1	83.134	137.779	1.6573	FAIL
SAME	C0	C0_complex_mu_0.01	1	3461.239	4592.722	1.3269	PASS
SAME	C0	C0_complex_mu_10000	1	3437.016	4551.692	1.3243	PASS
HETERO	C0	all	1	2665.234	3654.639	1.3712	PASS
SAME	D0	D0_real_euclidean	1	5561.578	5009.756	0.9008	PASS
SAME	D0	D0_real_timelike	1	959.491	4063.831	4.2354	FAIL
SAME	D0	D0_complex	1	40044.697	65269.490	1.6299	FAIL
SAME	D0	D0_massless_ir	1	88.143	154.008	1.7473	FAIL
SAME	D0	D0_complex_mu_0.01	1	40018.376	65177.611	1.6287	FAIL
SAME	D0	D0_complex_mu_10000	1	39966.271	65389.794	1.6361	FAIL
HETERO	D0	all	1	21170.537	34076.130	1.6096	FAIL
