2026-09-08T17:12:04.361895Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T17:12:04.361991Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T17:12:04.362251Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T17:12:04.362262Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T17:12:04.362593Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T17:12:04.362612Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T17:12:04.362737Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T17:12:04.362747Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T17:12:04.362983Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T17:12:04.362993Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T17:12:04.363106Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T17:12:04.363115Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
mode	family	name	batch	calls	repetition	ns_per_call	checksum_re	checksum_im
SAME	A0	A0_real	1	4097	1	130.771784232	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	2	127.711008055	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	3	126.615084208	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	4	132.004393459	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	5	128.597022211	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	6	132.660971443	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	7	127.071515743	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_negative_axis	1	4097	1	132.292409080	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	2	127.772028313	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	3	129.912618990	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	4	127.042226019	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	5	131.792042958	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	6	128.770319746	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	7	129.854039541	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_complex	1	4097	1	148.055406395	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	2	151.843299976	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	3	152.814986576	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	4	147.642665365	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	5	153.881376617	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	6	148.728825970	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	7	153.185745668	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_scaleless	1	4097	1	90.449597266	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	2	90.935074445	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	3	95.101781792	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	4	91.745423481	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	5	93.405418599	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	6	90.737368806	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	7	91.203807664	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_complex_mu_0.01	1	4097	1	150.098120576	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	2	148.646082499	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	3	152.258237735	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	4	150.730534537	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	5	147.105687088	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	6	151.226019038	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	7	149.973639248	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_10000	1	4097	1	151.972907005	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	2	151.826214303	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	3	144.918721015	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	4	149.134000488	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	5	145.065413717	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	6	149.158408592	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	7	148.897485965	7.79941192470200185e4	-3.48932347006877444e3
HETERO	A0	all	1	4097	1	132.822309007	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	2	134.047595802	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	3	128.479863315	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	4	131.591896510	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	5	128.111300952	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	6	131.057359043	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	7	128.152794728	7.53422881053923174e3	-4.46298584248139287e3
SAME	A0	A0_real	1024	4097	1	164.433243837	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1024	4097	2	160.532584818	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1024	4097	3	160.932877715	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1024	4097	4	166.498169392	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1024	4097	5	164.616060532	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1024	4097	6	162.707590920	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1024	4097	7	163.869172565	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_negative_axis	1024	4097	1	162.138882109	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1024	4097	2	165.729070051	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1024	4097	3	166.859409324	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1024	4097	4	167.432755675	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1024	4097	5	163.917988772	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1024	4097	6	165.900170857	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1024	4097	7	167.637783744	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_complex	1024	4097	1	186.778862582	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1024	4097	2	190.176470588	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1024	4097	3	190.117891140	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1024	4097	4	192.107151574	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1024	4097	5	189.983646571	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1024	4097	6	187.696607274	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1024	4097	7	190.208201123	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_scaleless	1024	4097	1	129.368318282	0.00000000000000000e0	0.00000000000000000e0
