mode	family	name	batch	fortran_ns	native_ns	ratio	status
SAME	A0	A0_real	1024	28.992	36.239	1.2500	PASS
SAME	A0	A0_negative_axis	1024	29.866	36.395	1.2186	PASS
SAME	A0	A0_complex	1024	66.629	46.637	0.6999	PASS
SAME	A0	A0_scaleless	1024	10.198	6.915	0.6781	PASS
SAME	A0	A0_complex_mu_0.01	1024	66.268	46.576	0.7028	PASS
SAME	A0	A0_complex_mu_10000	1024	66.219	46.576	0.7034	PASS
HETERO	A0	all	1024	46.415	60.083	1.2945	PASS
SAME	B0	B0_euclidean	1024	101.079	96.608	0.9558	PASS
SAME	B0	B0_timelike	1024	108.119	96.759	0.8949	PASS
SAME	B0	B0_complex	1024	277.402	134.697	0.4856	PASS
SAME	B0	B0_one_massless_onshell	1024	32.783	40.803	1.2447	PASS
SAME	B0	B0_scaleless	1024	12.021	12.019	0.9998	PASS
SAME	B0	B0_timelike_mu_0.01	1024	110.169	98.812	0.8969	PASS
SAME	B0	B0_timelike_mu_10000	1024	110.435	98.694	0.8937	PASS
HETERO	B0	all	1024	109.234	200.850	1.8387	FAIL
SAME	dB0	dB0_euclidean	1024	118.885	149.881	1.2607	PASS
SAME	dB0	dB0_timelike	1024	117.706	154.575	1.3132	PASS
SAME	dB0	dB0_complex	1024	232.993	218.890	0.9395	PASS
SAME	dB0	dB0_one_massless_onshell	1024	38.428	43.385	1.1290	PASS
SAME	dB0	dB0_timelike_mu_0.01	1024	119.407	160.823	1.3468	PASS
SAME	dB0	dB0_timelike_mu_10000	1024	119.295	161.282	1.3520	PASS
HETERO	dB0	all	1024	124.626	363.352	2.9155	FAIL
SAME	C0	C0_real_euclidean	1024	3340.030	3030.854	0.9074	PASS
SAME	C0	C0_real_timelike	1024	2024.792	6797.600	3.3572	FAIL
SAME	C0	C0_complex	1024	3452.840	3251.841	0.9418	PASS
SAME	C0	C0_massless_ir	1024	83.134	155.829	1.8744	FAIL
SAME	C0	C0_complex_mu_0.01	1024	3461.239	3249.890	0.9389	PASS
SAME	C0	C0_complex_mu_10000	1024	3437.016	3252.690	0.9464	PASS
HETERO	C0	all	1024	2665.234	9151.455	3.4336	FAIL
SAME	D0	D0_real_euclidean	1024	5561.578	7616.803	1.3695	PASS
SAME	D0	D0_real_timelike	1024	959.491	7221.097	7.5260	FAIL
SAME	D0	D0_complex	1024	40044.697	144809.008	3.6162	FAIL
SAME	D0	D0_massless_ir	1024	88.143	393.655	4.4661	FAIL
SAME	D0	D0_complex_mu_0.01	1024	40018.376	146145.908	3.6520	FAIL
SAME	D0	D0_complex_mu_10000	1024	39966.271	145787.613	3.6478	FAIL
HETERO	D0	all	1024	21170.537	231435.507	10.9320	FAIL
