2026-09-08T17:10:41.734983Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T17:10:41.735066Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T17:10:41.735311Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T17:10:41.735320Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T17:10:41.735632Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T17:10:41.735649Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T17:10:41.735775Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T17:10:41.735784Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T17:10:41.735989Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T17:10:41.735997Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T17:10:41.736107Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T17:10:41.736116Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
mode	family	name	batch	calls	repetition	ns_per_call	checksum_re	checksum_im
SAME	A0	A0_real	1	4097	1	70.368806444	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	2	70.383451306	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	3	70.390529656	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	4	73.769099341	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	5	70.398096168	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	6	70.366365633	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	7	74.640224555	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_negative_axis	1	4097	1	70.383451306	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	2	73.100073224	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	3	70.578716134	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	4	70.449353185	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	5	73.722479863	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	6	70.402977789	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	7	70.400536978	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_complex	1	4097	1	76.778374420	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	2	76.966560898	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	3	80.093238955	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	4	77.095679766	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	5	76.980961679	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	6	80.066145960	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	7	77.000732243	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_scaleless	1	4097	1	13.924823041	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	2	13.897974127	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	3	13.893092507	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	4	13.893092507	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	5	13.900414938	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	6	13.893092507	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	7	13.885770076	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_complex_mu_0.01	1	4097	1	80.754454479	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	2	77.005369783	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	3	77.051745179	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	4	80.632413961	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	5	76.986087381	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	6	76.995606541	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	7	79.604832804	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_10000	1	4097	1	76.990724921	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	2	79.509885282	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	3	77.005613864	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	4	76.998047352	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	5	80.002684891	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	6	77.086160605	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	7	76.963876007	7.79941192470200185e4	-3.48932347006877444e3
HETERO	A0	all	1	4097	1	65.010983647	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	2	65.023431779	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	3	68.909201855	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	4	65.384671711	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	5	65.028313400	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	6	65.020990969	7.53422881053923174e3	-4.46298584248139287e3
