mode	family	name	batch	fortran_ns	native_ns	ratio	status
SAME	A0	A0_real	1024	28.992	30.025	1.0356	PASS
SAME	A0	A0_negative_axis	1024	29.866	29.702	0.9945	PASS
SAME	A0	A0_complex	1024	66.629	55.070	0.8265	PASS
SAME	A0	A0_scaleless	1024	10.198	15.167	1.4873	PASS
SAME	A0	A0_complex_mu_0.01	1024	66.268	55.058	0.8308	PASS
SAME	A0	A0_complex_mu_10000	1024	66.219	55.070	0.8316	PASS
HETERO	A0	all	1024	46.415	39.366	0.8481	PASS
SAME	B0	B0_euclidean	1024	101.079	87.691	0.8676	PASS
SAME	B0	B0_timelike	1024	108.119	86.149	0.7968	PASS
SAME	B0	B0_complex	1024	277.402	236.537	0.8527	PASS
SAME	B0	B0_one_massless_onshell	1024	32.783	39.566	1.2069	PASS
SAME	B0	B0_scaleless	1024	12.021	13.617	1.1328	PASS
SAME	B0	B0_timelike_mu_0.01	1024	110.169	90.715	0.8234	PASS
SAME	B0	B0_timelike_mu_10000	1024	110.435	90.510	0.8196	PASS
HETERO	B0	all	1024	109.234	92.019	0.8424	PASS
SAME	dB0	dB0_euclidean	1024	118.885	110.969	0.9334	PASS
SAME	dB0	dB0_timelike	1024	117.706	115.961	0.9852	PASS
SAME	dB0	dB0_complex	1024	232.993	293.875	1.2613	PASS
SAME	dB0	dB0_one_massless_onshell	1024	38.428	40.400	1.0513	PASS
SAME	dB0	dB0_timelike_mu_0.01	1024	119.407	119.073	0.9972	PASS
SAME	dB0	dB0_timelike_mu_10000	1024	119.295	122.378	1.0258	PASS
HETERO	dB0	all	1024	124.626	134.782	1.0815	PASS
SAME	C0	C0_real_euclidean	1024	3340.030	3739.968	1.1197	PASS
SAME	C0	C0_real_timelike	1024	2024.792	3266.117	1.6131	FAIL
SAME	C0	C0_complex	1024	3452.840	4110.175	1.1904	PASS
SAME	C0	C0_massless_ir	1024	83.134	32.031	0.3853	PASS
SAME	C0	C0_complex_mu_0.01	1024	3461.239	4104.905	1.1860	PASS
SAME	C0	C0_complex_mu_10000	1024	3437.016	4106.360	1.1947	PASS
HETERO	C0	all	1024	2665.234	3246.944	1.2183	PASS
SAME	D0	D0_real_euclidean	1024	5561.578	4589.117	0.8251	PASS
SAME	D0	D0_real_timelike	1024	959.491	3646.113	3.8000	FAIL
SAME	D0	D0_complex	1024	40044.697	60800.905	1.5183	FAIL
SAME	D0	D0_massless_ir	1024	88.143	43.605	0.4947	PASS
SAME	D0	D0_complex_mu_0.01	1024	40018.376	60874.750	1.5212	FAIL
SAME	D0	D0_complex_mu_10000	1024	39966.271	60985.651	1.5259	FAIL
HETERO	D0	all	1024	21170.537	31888.618	1.5063	FAIL
