2026-09-08T17:10:19.940666Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T17:10:19.940882Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T17:10:19.941213Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T17:10:19.941224Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T17:10:19.941547Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T17:10:19.941564Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T17:10:19.941680Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T17:10:19.941689Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T17:10:19.941914Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T17:10:19.941924Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T17:10:19.942031Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T17:10:19.942039Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
mode	family	name	batch	calls	repetition	ns_per_call	checksum_re	checksum_im
SAME	A0	A0_real	1	4097	1	36.548938247	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	2	36.343910178	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	3	36.353429339	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	4	36.312179644	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	5	36.324383695	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	6	36.341469368	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	7	36.321942885	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_negative_axis	1	4097	1	35.975103734	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	2	35.982670247	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	3	41.774713205	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	4	35.994630217	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	5	35.977788626	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	6	36.041249695	-2.51435200249206946e3	-2.57422102035165080e4
