mode	family	name	batch	fortran_ns	native_ns	ratio	status
SAME	A0	A0_real	1024	28.992	333.958	11.5190	FAIL
SAME	A0	A0_negative_axis	1024	29.866	326.396	10.9288	FAIL
SAME	A0	A0_complex	1024	66.629	350.224	5.2563	FAIL
SAME	A0	A0_scaleless	1024	10.198	307.556	30.1593	FAIL
SAME	A0	A0_complex_mu_0.01	1024	66.268	351.686	5.3070	FAIL
SAME	A0	A0_complex_mu_10000	1024	66.219	350.128	5.2874	FAIL
HETERO	A0	all	1024	46.415	333.658	7.1886	FAIL
SAME	B0	B0_euclidean	1024	101.079	439.926	4.3523	FAIL
SAME	B0	B0_timelike	1024	108.119	448.408	4.1474	FAIL
SAME	B0	B0_complex	1024	277.402	617.447	2.2258	FAIL
SAME	B0	B0_one_massless_onshell	1024	32.783	400.587	12.2195	FAIL
SAME	B0	B0_scaleless	1024	12.021	372.989	31.0281	FAIL
SAME	B0	B0_timelike_mu_0.01	1024	110.169	452.589	4.1081	FAIL
SAME	B0	B0_timelike_mu_10000	1024	110.435	459.065	4.1569	FAIL
HETERO	B0	all	1024	109.234	462.401	4.2331	FAIL
SAME	dB0	dB0_euclidean	1024	118.885	485.916	4.0873	FAIL
SAME	dB0	dB0_timelike	1024	117.706	472.316	4.0127	FAIL
SAME	dB0	dB0_complex	1024	232.993	663.598	2.8481	FAIL
SAME	dB0	dB0_one_massless_onshell	1024	38.428	409.367	10.6528	FAIL
SAME	dB0	dB0_timelike_mu_0.01	1024	119.407	488.413	4.0903	FAIL
SAME	dB0	dB0_timelike_mu_10000	1024	119.295	486.057	4.0744	FAIL
HETERO	dB0	all	1024	124.626	493.372	3.9588	FAIL
SAME	C0	C0_real_euclidean	1024	3340.030	4561.619	1.3657	PASS
SAME	C0	C0_real_timelike	1024	2024.792	4005.583	1.9783	FAIL
SAME	C0	C0_complex	1024	3452.840	4915.147	1.4235	PASS
SAME	C0	C0_massless_ir	1024	83.134	495.062	5.9550	FAIL
SAME	C0	C0_complex_mu_0.01	1024	3461.239	4931.034	1.4246	PASS
SAME	C0	C0_complex_mu_10000	1024	3437.016	4927.349	1.4336	PASS
HETERO	C0	all	1024	2665.234	4082.290	1.5317	FAIL
SAME	D0	D0_real_euclidean	1024	5561.578	5586.878	1.0045	PASS
SAME	D0	D0_real_timelike	1024	959.491	4512.866	4.7034	FAIL
SAME	D0	D0_complex	1024	40044.697	66074.026	1.6500	FAIL
SAME	D0	D0_massless_ir	1024	88.143	618.845	7.0209	FAIL
SAME	D0	D0_complex_mu_0.01	1024	40018.376	67083.906	1.6763	FAIL
SAME	D0	D0_complex_mu_10000	1024	39966.271	66280.681	1.6584	FAIL
HETERO	D0	all	1024	21170.537	34113.714	1.6114	FAIL
