SAME A0 A0_real: batch=1024, median=333.958 ns/call
SAME A0 A0_negative_axis: batch=1024, median=326.396 ns/call
SAME A0 A0_complex: batch=1024, median=350.224 ns/call
SAME A0 A0_scaleless: batch=1024, median=307.556 ns/call
SAME A0 A0_complex_mu_0.01: batch=1024, median=351.686 ns/call
SAME A0 A0_complex_mu_10000: batch=1024, median=350.128 ns/call
HETERO A0 all: batch=1024, median=333.658 ns/call
SAME B0 B0_euclidean: batch=1024, median=439.926 ns/call
SAME B0 B0_timelike: batch=1024, median=448.408 ns/call
SAME B0 B0_complex: batch=1024, median=617.447 ns/call
SAME B0 B0_one_massless_onshell: batch=1024, median=400.587 ns/call
SAME B0 B0_scaleless: batch=1024, median=372.989 ns/call
SAME B0 B0_timelike_mu_0.01: batch=1024, median=452.589 ns/call
SAME B0 B0_timelike_mu_10000: batch=1024, median=459.065 ns/call
HETERO B0 all: batch=1024, median=462.401 ns/call
SAME dB0 dB0_euclidean: batch=1024, median=485.916 ns/call
SAME dB0 dB0_timelike: batch=1024, median=472.316 ns/call
SAME dB0 dB0_complex: batch=1024, median=663.598 ns/call
SAME dB0 dB0_one_massless_onshell: batch=1024, median=409.367 ns/call
SAME dB0 dB0_timelike_mu_0.01: batch=1024, median=488.413 ns/call
SAME dB0 dB0_timelike_mu_10000: batch=1024, median=486.057 ns/call
HETERO dB0 all: batch=1024, median=493.372 ns/call
SAME C0 C0_real_euclidean: batch=1024, median=4561.619 ns/call
SAME C0 C0_real_timelike: batch=1024, median=4005.583 ns/call
SAME C0 C0_complex: batch=1024, median=4915.147 ns/call
SAME C0 C0_massless_ir: batch=1024, median=495.062 ns/call
SAME C0 C0_complex_mu_0.01: batch=1024, median=4931.034 ns/call
SAME C0 C0_complex_mu_10000: batch=1024, median=4927.349 ns/call
HETERO C0 all: batch=1024, median=4082.290 ns/call
SAME D0 D0_real_euclidean: batch=1024, median=5586.878 ns/call
SAME D0 D0_real_timelike: batch=1024, median=4512.866 ns/call
SAME D0 D0_complex: batch=1024, median=66074.026 ns/call
SAME D0 D0_massless_ir: batch=1024, median=618.845 ns/call
SAME D0 D0_complex_mu_0.01: batch=1024, median=67083.906 ns/call
SAME D0 D0_complex_mu_10000: batch=1024, median=66280.681 ns/call
HETERO D0 all: batch=1024, median=34113.714 ns/call
