mode	family	name	batch	calls	repetition	ns_per_call	checksum_re	checksum_im
SAME	A0	A0_real	1024	4097	1	940.2794727849646	2514.3520024918084	0.0
SAME	A0	A0_real	1024	4097	2	343.48694166463264	2514.3520024918084	0.0
SAME	A0	A0_real	1024	4097	3	331.7610446668294	2514.3520024918084	0.0
SAME	A0	A0_real	1024	4097	4	320.9506956309495	2514.3520024918084	0.0
SAME	A0	A0_real	1024	4097	5	330.4015133024164	2514.3520024918084	0.0
SAME	A0	A0_real	1024	4097	6	333.9577739809617	2514.3520024918084	0.0
SAME	A0	A0_real	1024	4097	7	336.33024164022453	2514.3520024918084	0.0
SAME	A0	A0_negative_axis	1024	4097	1	369.2008786917257	-2514.3520024918084	-25742.210203514765
SAME	A0	A0_negative_axis	1024	4097	2	329.42299243348793	-2514.3520024918084	-25742.210203514765
SAME	A0	A0_negative_axis	1024	4097	3	314.62411520624846	-2514.3520024918084	-25742.210203514765
SAME	A0	A0_negative_axis	1024	4097	4	312.8008298755187	-2514.3520024918084	-25742.210203514765
SAME	A0	A0_negative_axis	1024	4097	5	331.7049060288016	-2514.3520024918084	-25742.210203514765
SAME	A0	A0_negative_axis	1024	4097	6	326.39614351964855	-2514.3520024918084	-25742.210203514765
SAME	A0	A0_negative_axis	1024	4097	7	320.0766414449597	-2514.3520024918084	-25742.210203514765
SAME	A0	A0_complex	1024	4097	1	349.25677324871856	2524.5902390454758	284.1529803296892
SAME	A0	A0_complex	1024	4097	2	348.3072980229436	2524.5902390454758	284.1529803296892
SAME	A0	A0_complex	1024	4097	3	345.7666585306322	2524.5902390454758	284.1529803296892
SAME	A0	A0_complex	1024	4097	4	357.3971198437881	2524.5902390454758	284.1529803296892
SAME	A0	A0_complex	1024	4097	5	351.39272638515985	2524.5902390454758	284.1529803296892
SAME	A0	A0_complex	1024	4097	6	354.8242616548694	2524.5902390454758	284.1529803296892
SAME	A0	A0_complex	1024	4097	7	350.2235782279717	2524.5902390454758	284.1529803296892
SAME	A0	A0_scaleless	1024	4097	1	314.3751525506468	0.0	0.0
SAME	A0	A0_scaleless	1024	4097	2	297.1210641933122	0.0	0.0
SAME	A0	A0_scaleless	1024	4097	3	299.99877959482546	0.0	0.0
SAME	A0	A0_scaleless	1024	4097	4	307.5555284354406	0.0	0.0
SAME	A0	A0_scaleless	1024	4097	5	319.0273370759092	0.0	0.0
SAME	A0	A0_scaleless	1024	4097	6	301.1361972174762	0.0	0.0
SAME	A0	A0_scaleless	1024	4097	7	316.2985111056871	0.0	0.0
SAME	A0	A0_complex_mu_0.01	1024	4097	1	351.93458628264585	-35210.17426494095	2170.8912055290107
SAME	A0	A0_complex_mu_0.01	1024	4097	2	351.68562362704415	-35210.17426494095	2170.8912055290107
SAME	A0	A0_complex_mu_0.01	1024	4097	3	346.0373443983402	-35210.17426494095	2170.8912055290107
SAME	A0	A0_complex_mu_0.01	1024	4097	4	344.4193312179644	-35210.17426494095	2170.8912055290107
SAME	A0	A0_complex_mu_0.01	1024	4097	5	358.4881620698072	-35210.17426494095	2170.8912055290107
SAME	A0	A0_complex_mu_0.01	1024	4097	6	344.116426653649	-35210.17426494095	2170.8912055290107
SAME	A0	A0_complex_mu_0.01	1024	4097	7	353.5452770319746	-35210.17426494095	2170.8912055290107
SAME	A0	A0_complex_mu_10000	1024	4097	1	344.8635587014889	77994.11924701833	-3489.323470068953
SAME	A0	A0_complex_mu_10000	1024	4097	2	358.6053209665609	77994.11924701833	-3489.323470068953
SAME	A0	A0_complex_mu_10000	1024	4097	3	353.15962899682694	77994.11924701833	-3489.323470068953
SAME	A0	A0_complex_mu_10000	1024	4097	4	350.1283866243593	77994.11924701833	-3489.323470068953
SAME	A0	A0_complex_mu_10000	1024	4097	5	348.21479131071516	77994.11924701833	-3489.323470068953
SAME	A0	A0_complex_mu_10000	1024	4097	6	346.6331462045399	77994.11924701833	-3489.323470068953
SAME	A0	A0_complex_mu_10000	1024	4097	7	353.86990480839637	77994.11924701833	-3489.323470068953
HETERO	A0	all	1024	4097	1	339.3251159384916	7534.228810539393	-4462.9858424813565
HETERO	A0	all	1024	4097	2	327.13326824505737	7534.228810539393	-4462.9858424813565
HETERO	A0	all	1024	4097	3	342.03685623627047	7534.228810539393	-4462.9858424813565
HETERO	A0	all	1024	4097	4	342.83256041005615	7534.228810539393	-4462.9858424813565
HETERO	A0	all	1024	4097	5	333.6577983890652	7534.228810539393	-4462.9858424813565
HETERO	A0	all	1024	4097	6	331.54137173541613	7534.228810539393	-4462.9858424813565
HETERO	A0	all	1024	4097	7	332.11740297778863	7534.228810539393	-4462.9858424813565
SAME	B0	B0_euclidean	1024	4097	1	435.19331217964367	-1611.4540302721114	0.0
SAME	B0	B0_euclidean	1024	4097	2	434.1388821088601	-1611.4540302721114	0.0
SAME	B0	B0_euclidean	1024	4097	3	439.9260434464242	-1611.4540302721114	0.0
SAME	B0	B0_euclidean	1024	4097	4	437.79765682206494	-1611.4540302721114	0.0
