mode	family	name	batch	calls	repetition	ns_per_call	checksum_re	checksum_im
SAME	A0	A0_real	1024	1025	1	283.24	629.0482798521122	0.0
SAME	A0	A0_real	1024	1025	2	275.32780487804877	629.0482798521122	0.0
SAME	A0	A0_real	1024	1025	3	280.89853658536583	629.0482798521122	0.0
SAME	A0	A0_negative_axis	1024	1025	1	280.3131707317073	-629.0482798521122	-6440.264939859076
SAME	A0	A0_negative_axis	1024	1025	2	279.7082926829268	-629.0482798521122	-6440.264939859076
SAME	A0	A0_negative_axis	1024	1025	3	287.1424390243902	-629.0482798521122	-6440.264939859076
SAME	A0	A0_complex	1024	1025	1	285.7180487804878	631.6097132100592	71.09026234755466
SAME	A0	A0_complex	1024	1025	2	287.6887804878049	631.6097132100592	71.09026234755466
SAME	A0	A0_complex	1024	1025	3	286.6058536585366	631.6097132100592	71.09026234755466
SAME	A0	A0_scaleless	1024	1025	1	546.3239024390244	0.0	0.0
SAME	A0	A0_scaleless	1024	1025	2	250.62536585365854	0.0	0.0
SAME	A0	A0_scaleless	1024	1025	3	257.8546341463415	0.0	0.0
SAME	A0	A0_complex_mu_0.01	1024	1025	1	294.44975609756096	-8808.98916806553	543.120206411334
SAME	A0	A0_complex_mu_0.01	1024	1025	2	287.4448780487805	-8808.98916806553	543.120206411334
SAME	A0	A0_complex_mu_0.01	1024	1025	3	298.05951219512195	-8808.98916806553	543.120206411334
SAME	A0	A0_complex_mu_10000	1024	1025	1	295.4839024390244	19512.807475761238	-872.9696257800042
SAME	A0	A0_complex_mu_10000	1024	1025	2	288.030243902439	19512.807475761238	-872.9696257800042
SAME	A0	A0_complex_mu_10000	1024	1025	3	299.4936585365854	19512.807475761238	-872.9696257800042
HETERO	A0	all	1024	1025	1	311.08390243902437	1872.044277169878	-1116.7416106738856
HETERO	A0	all	1024	1025	2	301.1717073170732	1872.044277169878	-1116.7416106738856
HETERO	A0	all	1024	1025	3	309.13365853658536	1872.044277169878	-1116.7416106738856
SAME	B0	B0_euclidean	1024	1025	1	408.9570731707317	-403.15850159358456	0.0
SAME	B0	B0_euclidean	1024	1025	2	410.3239024390244	-403.15850159358456	0.0
SAME	B0	B0_euclidean	1024	1025	3	396.48	-403.15850159358456	0.0
SAME	B0	B0_timelike	1024	1025	1	404.5873170731707	1278.9818678756112	1301.130003317807
SAME	B0	B0_timelike	1024	1025	2	398.98634146341465	1278.9818678756112	1301.130003317807
SAME	B0	B0_timelike	1024	1025	3	396.099512195122	1278.9818678756112	1301.130003317807
SAME	B0	B0_complex	1024	1025	1	425.26048780487804	738.2961292144719	121.81701975763798
SAME	B0	B0_complex	1024	1025	2	435.3580487804878	738.2961292144719	121.81701975763798
SAME	B0	B0_complex	1024	1025	3	440.0507317073171	738.2961292144719	121.81701975763798
SAME	B0	B0_one_massless_onshell	1024	1025	1	347.1912195121951	1339.524139926056	0.0
SAME	B0	B0_one_massless_onshell	1024	1025	2	341.4936585365854	1339.524139926056	0.0
SAME	B0	B0_one_massless_onshell	1024	1025	3	346.5863414634146	1339.524139926056	0.0
