┌────────────────────────────────────────────────────────┐
│ You are running a restricted Symbolica instance.       │
│                                                        │
│ This mode is only permitted for non-commercial use and │
│ is limited to one Symbolica thread per user.           │
│                                                        │
│ Hobbyists can easily acquire a free license key        │
│ that unlocks all cores and removes this banner:        │
│                                                        │
│   from symbolica import *                              │
│   request_hobbyist_license('YOUR_NAME', 'YOUR_EMAIL')  │
│                                                        │
│ All other users can obtain a free 30-day trial key:    │
│                                                        │
│   from symbolica import *                              │
│   request_trial_license('NAME', 'EMAIL', 'EMPLOYER')   │
│                                                        │
│ See https://symbolica.io/docs/get_started.html#license │
└────────────────────────────────────────────────────────┘
2026-09-08T12:44:50.045267Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T12:44:50.045335Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T12:44:50.045710Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T12:44:50.045722Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T12:44:50.046206Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T12:44:50.046218Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T12:44:50.046392Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T12:44:50.046404Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T12:44:50.046711Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T12:44:50.046722Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T12:44:50.046879Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T12:44:50.046894Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
mode	family	name	batch	calls	repetition	ns_per_call	checksum_re	checksum_im
SAME	A0	A0_real	1	4097	1	140.088357335	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	2	137.664876739	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	3	140.486209422	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	4	137.266780571	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	5	137.149865755	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	6	140.312911887	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	7	136.776177691	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_negative_axis	1	4097	1	141.909201855	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	2	163.578960215	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	3	139.075421040	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	4	135.938979741	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	5	139.983646571	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	6	139.939467903	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	7	136.820112277	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_complex	1	4097	1	144.657554308	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	2	144.213570906	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	3	147.891872102	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	4	144.030510129	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	5	146.773980962	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	6	146.944593605	2.52459023904547621e3	2.84152980329703666e2
