┌────────────────────────────────────────────────────────┐
│ You are running a restricted Symbolica instance.       │
│                                                        │
│ This mode is only permitted for non-commercial use and │
│ is limited to one Symbolica thread per user.           │
│                                                        │
│ Hobbyists can easily acquire a free license key        │
│ that unlocks all cores and removes this banner:        │
│                                                        │
│   from symbolica import *                              │
│   request_hobbyist_license('YOUR_NAME', 'YOUR_EMAIL')  │
│                                                        │
│ All other users can obtain a free 30-day trial key:    │
│                                                        │
│   from symbolica import *                              │
│   request_trial_license('NAME', 'EMAIL', 'EMPLOYER')   │
│                                                        │
│ See https://symbolica.io/docs/get_started.html#license │
└────────────────────────────────────────────────────────┘
2026-09-08T12:40:45.848771Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T12:40:45.848918Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T12:40:45.849746Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T12:40:45.849759Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T12:40:45.850277Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T12:40:45.850287Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T12:40:45.850473Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T12:40:45.850483Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T12:40:45.850827Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T12:40:45.850840Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T12:40:45.851001Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T12:40:45.851021Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
mode	family	name	batch	calls	repetition	ns_per_call	checksum_re	checksum_im
SAME	A0	A0_real	1	4097	1	77.459360508	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	2	72.790090310	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	3	73.215035392	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	4	80.271174030	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	5	73.810349036	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	6	73.173297535	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	7	77.210397852	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_negative_axis	1	4097	1	73.712716622	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	2	76.705394191	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	3	73.649255553	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	4	73.829875519	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	5	78.882352941	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	6	74.164266536	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	7	74.103246278	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_complex	1	4097	1	80.164022455	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	2	83.490602880	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	3	80.261654869	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	4	79.743958994	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	5	81.965340493	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	6	79.014400781	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	7	79.692701977	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_scaleless	1	4097	1	18.977544545	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	2	14.359287283	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	3	14.500854284	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	4	14.493775934	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	5	14.696119112	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	6	14.361728094	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	7	14.517939956	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_complex_mu_0.01	1	4097	1	80.339516720	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	2	80.307786185	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	3	84.774469124	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	4	80.200390530	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	5	80.718086405	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	6	85.377349280	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	7	80.476446180	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_10000	1	4097	1	84.330241640	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	2	80.866975836	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	3	85.121064193	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	4	80.779106663	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	5	80.754454479	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	6	85.399316573	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	7	80.630217232	7.79941192470200185e4	-3.48932347006877444e3
HETERO	A0	all	1	4097	1	71.486697584	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	2	68.831095924	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	3	68.411520625	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	4	72.348547718	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	5	68.723700268	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	6	68.093971198	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	7	67.993897974	7.53422881053923174e3	-4.46298584248139287e3
SAME	A0	A0_real	1024	4097	1	37.744691237	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1024	4097	2	37.742494508	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1024	4097	3	37.693678301	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1024	4097	4	37.647058824	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1024	4097	5	40.808152307	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1024	4097	6	37.813278008	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1024	4097	7	37.876494996	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_negative_axis	1024	4097	1	38.022943617	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1024	4097	2	41.203563583	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1024	4097	3	38.035391750	-2.51435200249206946e3	-2.57422102035165080e4
