mode	family	name	batch	calls	repetition	ns_per_call	checksum_re	checksum_im
SAME	A0	A0_real	1024	4097	1	1267.356846473029	2514.3520024918084	0.0
SAME	A0	A0_real	1024	4097	2	325.3880888454967	2514.3520024918084	0.0
SAME	A0	A0_real	1024	4097	3	311.83426897730044	2514.3520024918084	0.0
SAME	A0	A0_real	1024	4097	4	321.04832804491093	2514.3520024918084	0.0
SAME	A0	A0_real	1024	4097	5	325.473517207713	2514.3520024918084	0.0
SAME	A0	A0_real	1024	4097	6	318.80034171344886	2514.3520024918084	0.0
SAME	A0	A0_real	1024	4097	7	317.9533805223334	2514.3520024918084	0.0
SAME	A0	A0_negative_axis	1024	4097	1	312.3055894556993	-2514.3520024918084	-25742.210203514765
SAME	A0	A0_negative_axis	1024	4097	2	315.5955577251648	-2514.3520024918084	-25742.210203514765
SAME	A0	A0_negative_axis	1024	4097	3	466.6700024408103	-2514.3520024918084	-25742.210203514765
SAME	A0	A0_negative_axis	1024	4097	4	316.1862338296314	-2514.3520024918084	-25742.210203514765
SAME	A0	A0_negative_axis	1024	4097	5	331.1462045399073	-2514.3520024918084	-25742.210203514765
SAME	A0	A0_negative_axis	1024	4097	6	317.88015621186236	-2514.3520024918084	-25742.210203514765
SAME	A0	A0_negative_axis	1024	4097	7	310.5433243836954	-2514.3520024918084	-25742.210203514765
SAME	A0	A0_complex	1024	4097	1	324.88796680497927	2524.5902390454758	284.1529803296892
SAME	A0	A0_complex	1024	4097	2	320.7483524530144	2524.5902390454758	284.1529803296892
SAME	A0	A0_complex	1024	4097	3	314.18013180375885	2524.5902390454758	284.1529803296892
SAME	A0	A0_complex	1024	4097	4	324.29484989016356	2524.5902390454758	284.1529803296892
SAME	A0	A0_complex	1024	4097	5	315.475958018062	2524.5902390454758	284.1529803296892
SAME	A0	A0_complex	1024	4097	6	323.2648279228704	2524.5902390454758	284.1529803296892
SAME	A0	A0_complex	1024	4097	7	319.3153526970954	2524.5902390454758	284.1529803296892
SAME	A0	A0_scaleless	1024	4097	1	292.4515499145716	0.0	0.0
SAME	A0	A0_scaleless	1024	4097	2	280.29899926775687	0.0	0.0
SAME	A0	A0_scaleless	1024	4097	3	280.162069807176	0.0	0.0
SAME	A0	A0_scaleless	1024	4097	4	278.5464974371491	0.0	0.0
SAME	A0	A0_scaleless	1024	4097	5	275.739321454723	0.0	0.0
SAME	A0	A0_scaleless	1024	4097	6	281.78276787893583	0.0	0.0
SAME	A0	A0_scaleless	1024	4097	7	289.26409567976566	0.0	0.0
SAME	A0	A0_complex_mu_0.01	1024	4097	1	331.92726385159875	-35210.17426494095	2170.8912055290107
SAME	A0	A0_complex_mu_0.01	1024	4097	2	325.4149377593361	-35210.17426494095	2170.8912055290107
SAME	A0	A0_complex_mu_0.01	1024	4097	3	321.34854771784234	-35210.17426494095	2170.8912055290107
SAME	A0	A0_complex_mu_0.01	1024	4097	4	329.07859409323896	-35210.17426494095	2170.8912055290107
SAME	A0	A0_complex_mu_0.01	1024	4097	5	344.76592628752746	-35210.17426494095	2170.8912055290107
SAME	A0	A0_complex_mu_0.01	1024	4097	6	332.07346839150597	-35210.17426494095	2170.8912055290107
SAME	A0	A0_complex_mu_0.01	1024	4097	7	326.298755186722	-35210.17426494095	2170.8912055290107
SAME	A0	A0_complex_mu_10000	1024	4097	1	317.5555284354406	77994.11924701833	-3489.323470068953
SAME	A0	A0_complex_mu_10000	1024	4097	2	323.777154015133	77994.11924701833	-3489.323470068953
SAME	A0	A0_complex_mu_10000	1024	4097	3	326.6548694166463	77994.11924701833	-3489.323470068953
SAME	A0	A0_complex_mu_10000	1024	4097	4	321.66853795460094	77994.11924701833	-3489.323470068953
SAME	A0	A0_complex_mu_10000	1024	4097	5	326.25970222113745	77994.11924701833	-3489.323470068953
SAME	A0	A0_complex_mu_10000	1024	4097	6	323.43299975591896	77994.11924701833	-3489.323470068953
SAME	A0	A0_complex_mu_10000	1024	4097	7	319.1835489382475	77994.11924701833	-3489.323470068953
HETERO	A0	all	1024	4097	1	348.77861850134246	7534.228810539393	-4462.9858424813565
HETERO	A0	all	1024	4097	2	338.96167927752015	7534.228810539393	-4462.9858424813565
HETERO	A0	all	1024	4097	3	336.9672931413229	7534.228810539393	-4462.9858424813565
HETERO	A0	all	1024	4097	4	336.0888454967049	7534.228810539393	-4462.9858424813565
HETERO	A0	all	1024	4097	5	328.605076885526	7534.228810539393	-4462.9858424813565
HETERO	A0	all	1024	4097	6	321.9394679033439	7534.228810539393	-4462.9858424813565
HETERO	A0	all	1024	4097	7	325.0048816206981	7534.228810539393	-4462.9858424813565
SAME	B0	B0_euclidean	1024	4097	1	416.47961923358554	-1611.4540302721132	0.0
SAME	B0	B0_euclidean	1024	4097	2	417.860873810105	-1611.4540302721132	0.0
SAME	B0	B0_euclidean	1024	4097	3	420.8315840859165	-1611.4540302721132	0.0
SAME	B0	B0_euclidean	1024	4097	4	431.8786917256529	-1611.4540302721132	0.0
SAME	B0	B0_euclidean	1024	4097	5	444.3121796436417	-1611.4540302721132	0.0
SAME	B0	B0_euclidean	1024	4097	6	424.24139614351964	-1611.4540302721132	0.0
SAME	B0	B0_euclidean	1024	4097	7	427.5169636319258	-1611.4540302721132	0.0
SAME	B0	B0_timelike	1024	4097	1	421.5028069319014	5112.184109937931	5200.711827895663
SAME	B0	B0_timelike	1024	4097	2	439.1083719794972	5112.184109937931	5200.711827895663
SAME	B0	B0_timelike	1024	4097	3	1198.1718330485721	5112.184109937931	5200.711827895663
SAME	B0	B0_timelike	1024	4097	4	426.3795460092751	5112.184109937931	5200.711827895663
SAME	B0	B0_timelike	1024	4097	5	434.54161581645104	5112.184109937931	5200.711827895663
SAME	B0	B0_timelike	1024	4097	6	428.4615572370027	5112.184109937931	5200.711827895663
SAME	B0	B0_timelike	1024	4097	7	430.21405906761044	5112.184109937931	5200.711827895663
SAME	B0	B0_complex	1024	4097	1	481.37124725408836	2951.0236501382356	486.91154141174906
SAME	B0	B0_complex	1024	4097	2	458.85477178423236	2951.0236501382356	486.91154141174906
SAME	B0	B0_complex	1024	4097	3	468.893580668782	2951.0236501382356	486.91154141174906
SAME	B0	B0_complex	1024	4097	4	480.18745423480595	2951.0236501382356	486.91154141174906
SAME	B0	B0_complex	1024	4097	5	448.7813033927264	2951.0236501382356	486.91154141174906
SAME	B0	B0_complex	1024	4097	6	447.81254576519405	2951.0236501382356	486.91154141174906
SAME	B0	B0_complex	1024	4097	7	463.1188674639981	2951.0236501382356	486.91154141174906
SAME	B0	B0_one_massless_onshell	1024	4097	1	361.1169148157188	5354.1760012459035	0.0
SAME	B0	B0_one_massless_onshell	1024	4097	2	359.972174762021	5354.1760012459035	0.0
SAME	B0	B0_one_massless_onshell	1024	4097	3	362.1713448865023	5354.1760012459035	0.0
SAME	B0	B0_one_massless_onshell	1024	4097	4	365.23456187454235	5354.1760012459035	0.0
SAME	B0	B0_one_massless_onshell	1024	4097	5	380.7193068098609	5354.1760012459035	0.0
SAME	B0	B0_one_massless_onshell	1024	4097	6	368.8957773980962	5354.1760012459035	0.0
SAME	B0	B0_one_massless_onshell	1024	4097	7	366.6307053941909	5354.1760012459035	0.0
SAME	B0	B0_scaleless	1024	4097	1	323.3207224798633	0.0	0.0
SAME	B0	B0_scaleless	1024	4097	2	333.984866975836	0.0	0.0
SAME	B0	B0_scaleless	1024	4097	3	322.84964608249936	0.0	0.0
SAME	B0	B0_scaleless	1024	4097	4	331.67830119599705	0.0	0.0
SAME	B0	B0_scaleless	1024	4097	5	335.28337808152304	0.0	0.0
SAME	B0	B0_scaleless	1024	4097	6	329.7842323651452	0.0	0.0
SAME	B0	B0_scaleless	1024	4097	7	331.95142787405416	0.0	0.0
SAME	B0	B0_timelike_mu_0.01	1024	4097	1	430.2775201366854	-13755.19814205528	5200.711827895663
SAME	B0	B0_timelike_mu_0.01	1024	4097	2	423.04539907249205	-13755.19814205528	5200.711827895663
SAME	B0	B0_timelike_mu_0.01	1024	4097	3	440.47791066634124	-13755.19814205528	5200.711827895663
SAME	B0	B0_timelike_mu_0.01	1024	4097	4	427.597510373444	-13755.19814205528	5200.711827895663
SAME	B0	B0_timelike_mu_0.01	1024	4097	5	532.5235538198682	-13755.19814205528	5200.711827895663
SAME	B0	B0_timelike_mu_0.01	1024	4097	6	432.82572614107886	-13755.19814205528	5200.711827895663
SAME	B0	B0_timelike_mu_0.01	1024	4097	7	433.2723944349524	-13755.19814205528	5200.711827895663
SAME	B0	B0_timelike_mu_10000	1024	4097	1	416.5381986819624	42846.948613924345	5200.711827895663
SAME	B0	B0_timelike_mu_10000	1024	4097	2	428.6128874786429	42846.948613924345	5200.711827895663
SAME	B0	B0_timelike_mu_10000	1024	4097	3	441.52965584574076	42846.948613924345	5200.711827895663
SAME	B0	B0_timelike_mu_10000	1024	4097	4	429.1425433243837	42846.948613924345	5200.711827895663
SAME	B0	B0_timelike_mu_10000	1024	4097	5	444.1025140346595	42846.948613924345	5200.711827895663
SAME	B0	B0_timelike_mu_10000	1024	4097	6	419.1425433243837	42846.948613924345	5200.711827895663
SAME	B0	B0_timelike_mu_10000	1024	4097	7	418.26141078838174	42846.948613924345	5200.711827895663
HETERO	B0	all	1024	4097	1	528.1593849157921	5840.5281056351705	2298.5826754968657
