┌────────────────────────────────────────────────────────┐
│ You are running a restricted Symbolica instance.       │
│                                                        │
│ This mode is only permitted for non-commercial use and │
│ is limited to one Symbolica thread per user.           │
│                                                        │
│ Hobbyists can easily acquire a free license key        │
│ that unlocks all cores and removes this banner:        │
│                                                        │
│   from symbolica import *                              │
│   request_hobbyist_license('YOUR_NAME', 'YOUR_EMAIL')  │
│                                                        │
│ All other users can obtain a free 30-day trial key:    │
│                                                        │
│   from symbolica import *                              │
│   request_trial_license('NAME', 'EMAIL', 'EMPLOYER')   │
│                                                        │
│ See https://symbolica.io/docs/get_started.html#license │
└────────────────────────────────────────────────────────┘
2026-09-08T12:42:06.856097Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T12:42:06.856168Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T12:42:06.856539Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T12:42:06.856551Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T12:42:06.857036Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T12:42:06.857047Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T12:42:06.857221Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T12:42:06.857232Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T12:42:06.857542Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T12:42:06.857553Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
2026-09-08T12:42:06.857705Z  WARN symbolica::coefficient: Created infinity by raising 0 to the power of -1
2026-09-08T12:42:06.857721Z  WARN symbolica::coefficient: Created indeterminate by raising (0+0i) to the power of ⧞
mode	family	name	batch	calls	repetition	ns_per_call	checksum_re	checksum_im
SAME	A0	A0_real	1	4097	1	83.895777398	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	2	86.305101294	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	3	83.781059312	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	4	100.942396876	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	5	83.634854772	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	6	84.271662192	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1	4097	7	86.509885282	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_negative_axis	1	4097	1	87.967049060	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	2	83.864290945	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	3	83.515010984	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	4	85.697339517	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	5	83.734683915	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	6	83.463998047	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1	4097	7	86.041249695	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_complex	1	4097	1	108.096412009	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	2	90.593360996	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	3	94.659751037	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	4	91.303636807	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	5	90.925555284	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	6	93.239199414	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1	4097	7	91.316084940	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_scaleless	1	4097	1	30.007322431	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	2	26.826946546	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	3	26.834513058	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	4	26.834268977	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	5	26.841591408	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	6	26.839150598	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1	4097	7	26.851354650	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_complex_mu_0.01	1	4097	1	90.981449841	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	2	94.679521601	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	3	91.906761045	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	4	91.896997803	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	5	93.202831340	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	6	92.099340981	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1	4097	7	95.270197706	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_10000	1	4097	1	95.460580913	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	2	91.157188186	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	3	90.805955577	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	4	93.947278496	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	5	91.979741274	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	6	92.070295338	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1	4097	7	94.305833537	7.79941192470200185e4	-3.48932347006877444e3
HETERO	A0	all	1	4097	1	80.974371491	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	2	77.776665853	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	3	77.962167440	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	4	81.174273859	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	5	77.842567732	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	6	78.150353918	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1	4097	7	80.798389065	7.53422881053923174e3	-4.46298584248139287e3
SAME	A0	A0_real	1024	4097	1	38.235294118	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1024	4097	2	38.469855992	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1024	4097	3	40.183060776	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1024	4097	4	38.154747376	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1024	4097	5	38.345374664	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1024	4097	6	38.318525751	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_real	1024	4097	7	38.227971687	2.51435200249206946e3	0.00000000000000000e0
SAME	A0	A0_negative_axis	1024	4097	1	38.210886014	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1024	4097	2	38.142787405	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1024	4097	3	38.103734440	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1024	4097	4	38.201122773	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1024	4097	5	38.037588479	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1024	4097	6	44.740297779	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_negative_axis	1024	4097	7	38.242616549	-2.51435200249206946e3	-2.57422102035165080e4
SAME	A0	A0_complex	1024	4097	1	48.633390286	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1024	4097	2	52.094459361	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1024	4097	3	48.914083476	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1024	4097	4	48.533317061	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1024	4097	5	48.877227239	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1024	4097	6	48.233097388	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_complex	1024	4097	7	51.838174274	2.52459023904547621e3	2.84152980329703666e2
SAME	A0	A0_scaleless	1024	4097	1	11.574322675	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1024	4097	2	11.452282158	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1024	4097	3	11.540395411	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1024	4097	4	11.640224555	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1024	4097	5	11.549914572	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1024	4097	6	11.532828899	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_scaleless	1024	4097	7	11.442518916	0.00000000000000000e0	0.00000000000000000e0
SAME	A0	A0_complex_mu_0.01	1024	4097	1	48.599218941	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1024	4097	2	48.599218941	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1024	4097	3	48.789602148	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1024	4097	4	48.709055406	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1024	4097	5	50.893580669	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1024	4097	6	48.559921894	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_0.01	1024	4097	7	48.750793263	-3.52101742649394873e4	2.17089120552891063e3
SAME	A0	A0_complex_mu_10000	1024	4097	1	48.479619234	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1024	4097	2	48.923846717	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1024	4097	3	48.503783256	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1024	4097	4	49.013912619	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1024	4097	5	51.227727606	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1024	4097	6	48.601415670	7.79941192470200185e4	-3.48932347006877444e3
SAME	A0	A0_complex_mu_10000	1024	4097	7	48.587014889	7.79941192470200185e4	-3.48932347006877444e3
HETERO	A0	all	1024	4097	1	80.103002197	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1024	4097	2	77.955089090	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1024	4097	3	78.008542836	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1024	4097	4	78.133024164	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1024	4097	5	77.923114474	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1024	4097	6	77.871857457	7.53422881053923174e3	-4.46298584248139287e3
HETERO	A0	all	1024	4097	7	77.938003417	7.53422881053923174e3	-4.46298584248139287e3
SAME	B0	B0_euclidean	1	4097	1	265.026604833	-1.61145403027203452e3	0.00000000000000000e0
SAME	B0	B0_euclidean	1	4097	2	266.002928972	-1.61145403027203452e3	0.00000000000000000e0
SAME	B0	B0_euclidean	1	4097	3	265.592872834	-1.61145403027203452e3	0.00000000000000000e0
SAME	B0	B0_euclidean	1	4097	4	264.443251159	-1.61145403027203452e3	0.00000000000000000e0
SAME	B0	B0_euclidean	1	4097	5	278.343910178	-1.61145403027203452e3	0.00000000000000000e0
SAME	B0	B0_euclidean	1	4097	6	265.060776178	-1.61145403027203452e3	0.00000000000000000e0
SAME	B0	B0_euclidean	1	4097	7	266.842567732	-1.61145403027203452e3	0.00000000000000000e0
SAME	B0	B0_timelike	1	4097	1	266.847693434	5.11218410993797079e3	5.20071182789529666e3
SAME	B0	B0_timelike	1	4097	2	265.556504760	5.11218410993797079e3	5.20071182789529666e3
SAME	B0	B0_timelike	1	4097	3	265.805223334	5.11218410993797079e3	5.20071182789529666e3
SAME	B0	B0_timelike	1	4097	4	272.959482548	5.11218410993797079e3	5.20071182789529666e3
SAME	B0	B0_timelike	1	4097	5	265.868684403	5.11218410993797079e3	5.20071182789529666e3
SAME	B0	B0_timelike	1	4097	6	267.391994142	5.11218410993797079e3	5.20071182789529666e3
SAME	B0	B0_timelike	1	4097	7	264.682450574	5.11218410993797079e3	5.20071182789529666e3
SAME	B0	B0_complex	1	4097	1	279.107883817	2.95102365013805229e3	4.86911541411769974e2
SAME	B0	B0_complex	1	4097	2	280.584329998	2.95102365013805229e3	4.86911541411769974e2
SAME	B0	B0_complex	1	4097	3	282.549182329	2.95102365013805229e3	4.86911541411769974e2
SAME	B0	B0_complex	1	4097	4	279.620453991	2.95102365013805229e3	4.86911541411769974e2
SAME	B0	B0_complex	1	4097	5	280.018306078	2.95102365013805229e3	4.86911541411769974e2
SAME	B0	B0_complex	1	4097	6	279.312911887	2.95102365013805229e3	4.86911541411769974e2
SAME	B0	B0_complex	1	4097	7	278.961191115	2.95102365013805229e3	4.86911541411769974e2
SAME	B0	B0_one_massless_onshell	1	4097	1	112.060532097	5.35417600124553246e3	0.00000000000000000e0
SAME	B0	B0_one_massless_onshell	1	4097	2	107.654869417	5.35417600124553246e3	0.00000000000000000e0
SAME	B0	B0_one_massless_onshell	1	4097	3	107.715889675	5.35417600124553246e3	0.00000000000000000e0
SAME	B0	B0_one_massless_onshell	1	4097	4	107.566756163	5.35417600124553246e3	0.00000000000000000e0
SAME	B0	B0_one_massless_onshell	1	4097	5	107.835245301	5.35417600124553246e3	0.00000000000000000e0
SAME	B0	B0_one_massless_onshell	1	4097	6	110.156944105	5.35417600124553246e3	0.00000000000000000e0
SAME	B0	B0_one_massless_onshell	1	4097	7	108.189162802	5.35417600124553246e3	0.00000000000000000e0
SAME	B0	B0_scaleless	1	4097	1	43.373199902	0.00000000000000000e0	0.00000000000000000e0
SAME	B0	B0_scaleless	1	4097	2	43.427141811	0.00000000000000000e0	0.00000000000000000e0
SAME	B0	B0_scaleless	1	4097	3	43.509885282	0.00000000000000000e0	0.00000000000000000e0
SAME	B0	B0_scaleless	1	4097	4	43.375884794	0.00000000000000000e0	0.00000000000000000e0
SAME	B0	B0_scaleless	1	4097	5	43.412496949	0.00000000000000000e0	0.00000000000000000e0
SAME	B0	B0_scaleless	1	4097	6	43.473273127	0.00000000000000000e0	0.00000000000000000e0
SAME	B0	B0_scaleless	1	4097	7	46.097144252	0.00000000000000000e0	0.00000000000000000e0
SAME	B0	B0_timelike_mu_0.01	1	4097	1	280.320966561	-1.37551981420538577e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_0.01	1	4097	2	279.757139370	-1.37551981420538577e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_0.01	1	4097	3	278.978520869	-1.37551981420538577e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_0.01	1	4097	4	278.319257994	-1.37551981420538577e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_0.01	1	4097	5	279.249450818	-1.37551981420538577e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_0.01	1	4097	6	282.849646082	-1.37551981420538577e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_0.01	1	4097	7	279.486209422	-1.37551981420538577e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_10000	1	4097	1	278.509885282	4.28469486139230066e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_10000	1	4097	2	278.605076886	4.28469486139230066e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_10000	1	4097	3	281.497437149	4.28469486139230066e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_10000	1	4097	4	279.823041250	4.28469486139230066e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_10000	1	4097	5	280.469611911	4.28469486139230066e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_10000	1	4097	6	280.638271906	4.28469486139230066e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_10000	1	4097	7	278.607517696	4.28469486139230066e4	5.20071182789529666e3
HETERO	B0	all	1	4097	1	218.350744447	5.84052810563511412e3	2.29858267549689162e3
HETERO	B0	all	1	4097	2	217.770075665	5.84052810563511412e3	2.29858267549689162e3
HETERO	B0	all	1	4097	3	218.572858189	5.84052810563511412e3	2.29858267549689162e3
HETERO	B0	all	1	4097	4	218.504759580	5.84052810563511412e3	2.29858267549689162e3
HETERO	B0	all	1	4097	5	218.089821821	5.84052810563511412e3	2.29858267549689162e3
HETERO	B0	all	1	4097	6	218.700024408	5.84052810563511412e3	2.29858267549689162e3
HETERO	B0	all	1	4097	7	218.248474494	5.84052810563511412e3	2.29858267549689162e3
SAME	B0	B0_euclidean	1024	4097	1	104.232853307	-1.61145403027203452e3	0.00000000000000000e0
SAME	B0	B0_euclidean	1024	4097	2	101.711496217	-1.61145403027203452e3	0.00000000000000000e0
SAME	B0	B0_euclidean	1024	4097	3	104.422992433	-1.61145403027203452e3	0.00000000000000000e0
SAME	B0	B0_euclidean	1024	4097	4	101.723456187	-1.61145403027203452e3	0.00000000000000000e0
SAME	B0	B0_euclidean	1024	4097	5	104.152306566	-1.61145403027203452e3	0.00000000000000000e0
SAME	B0	B0_euclidean	1024	4097	6	101.735904320	-1.61145403027203452e3	0.00000000000000000e0
SAME	B0	B0_euclidean	1024	4097	7	101.567488406	-1.61145403027203452e3	0.00000000000000000e0
SAME	B0	B0_timelike	1024	4097	1	104.891628021	5.11218410993797079e3	5.20071182789529666e3
SAME	B0	B0_timelike	1024	4097	2	101.906761045	5.11218410993797079e3	5.20071182789529666e3
SAME	B0	B0_timelike	1024	4097	3	101.589455699	5.11218410993797079e3	5.20071182789529666e3
SAME	B0	B0_timelike	1024	4097	4	104.923602636	5.11218410993797079e3	5.20071182789529666e3
SAME	B0	B0_timelike	1024	4097	5	101.648035148	5.11218410993797079e3	5.20071182789529666e3
SAME	B0	B0_timelike	1024	4097	6	104.784232365	5.11218410993797079e3	5.20071182789529666e3
SAME	B0	B0_timelike	1024	4097	7	101.706614596	5.11218410993797079e3	5.20071182789529666e3
SAME	B0	B0_complex	1024	4097	1	138.221137418	2.95102365013805229e3	4.86911541411769974e2
SAME	B0	B0_complex	1024	4097	2	135.575298999	2.95102365013805229e3	4.86911541411769974e2
SAME	B0	B0_complex	1024	4097	3	139.573346351	2.95102365013805229e3	4.86911541411769974e2
SAME	B0	B0_complex	1024	4097	4	135.804735172	2.95102365013805229e3	4.86911541411769974e2
SAME	B0	B0_complex	1024	4097	5	138.887478643	2.95102365013805229e3	4.86911541411769974e2
SAME	B0	B0_complex	1024	4097	6	138.919453258	2.95102365013805229e3	4.86911541411769974e2
SAME	B0	B0_complex	1024	4097	7	135.804735172	2.95102365013805229e3	4.86911541411769974e2
SAME	B0	B0_one_massless_onshell	1024	4097	1	48.020502807	5.35417600124553246e3	0.00000000000000000e0
SAME	B0	B0_one_massless_onshell	1024	4097	2	44.764705882	5.35417600124553246e3	0.00000000000000000e0
SAME	B0	B0_one_massless_onshell	1024	4097	3	44.376617037	5.35417600124553246e3	0.00000000000000000e0
SAME	B0	B0_one_massless_onshell	1024	4097	4	44.376617037	5.35417600124553246e3	0.00000000000000000e0
SAME	B0	B0_one_massless_onshell	1024	4097	5	44.447156456	5.35417600124553246e3	0.00000000000000000e0
SAME	B0	B0_one_massless_onshell	1024	4097	6	47.993653893	5.35417600124553246e3	0.00000000000000000e0
SAME	B0	B0_one_massless_onshell	1024	4097	7	44.698804003	5.35417600124553246e3	0.00000000000000000e0
SAME	B0	B0_scaleless	1024	4097	1	18.079082255	0.00000000000000000e0	0.00000000000000000e0
SAME	B0	B0_scaleless	1024	4097	2	18.843055895	0.00000000000000000e0	0.00000000000000000e0
SAME	B0	B0_scaleless	1024	4097	3	18.757627532	0.00000000000000000e0	0.00000000000000000e0
SAME	B0	B0_scaleless	1024	4097	4	18.738101050	0.00000000000000000e0	0.00000000000000000e0
SAME	B0	B0_scaleless	1024	4097	5	23.241396144	0.00000000000000000e0	0.00000000000000000e0
SAME	B0	B0_scaleless	1024	4097	6	18.577007567	0.00000000000000000e0	0.00000000000000000e0
SAME	B0	B0_scaleless	1024	4097	7	18.547961923	0.00000000000000000e0	0.00000000000000000e0
SAME	B0	B0_timelike_mu_0.01	1024	4097	1	110.905784721	-1.37551981420538577e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_0.01	1024	4097	2	106.727117403	-1.37551981420538577e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_0.01	1024	4097	3	109.536734196	-1.37551981420538577e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_0.01	1024	4097	4	106.519892604	-1.37551981420538577e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_0.01	1024	4097	5	110.666829387	-1.37551981420538577e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_0.01	1024	4097	6	106.241640225	-1.37551981420538577e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_0.01	1024	4097	7	110.351964852	-1.37551981420538577e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_10000	1024	4097	1	109.907493288	4.28469486139230066e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_10000	1024	4097	2	107.176226507	4.28469486139230066e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_10000	1024	4097	3	111.730778619	4.28469486139230066e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_10000	1024	4097	4	107.613375641	4.28469486139230066e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_10000	1024	4097	5	112.814742495	4.28469486139230066e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_10000	1024	4097	6	106.842079570	4.28469486139230066e4	5.20071182789529666e3
SAME	B0	B0_timelike_mu_10000	1024	4097	7	112.641444960	4.28469486139230066e4	5.20071182789529666e3
HETERO	B0	all	1024	4097	1	230.635587015	5.84052810563511412e3	2.29858267549689162e3
HETERO	B0	all	1024	4097	2	231.182328533	5.84052810563511412e3	2.29858267549689162e3
HETERO	B0	all	1024	4097	3	231.548450085	5.84052810563511412e3	2.29858267549689162e3
HETERO	B0	all	1024	4097	4	231.321454723	5.84052810563511412e3	2.29858267549689162e3
HETERO	B0	all	1024	4097	5	229.217232121	5.84052810563511412e3	2.29858267549689162e3
HETERO	B0	all	1024	4097	6	229.686111789	5.84052810563511412e3	2.29858267549689162e3
HETERO	B0	all	1024	4097	7	227.665120820	5.84052810563511412e3	2.29858267549689162e3
SAME	dB0	dB0_euclidean	1	4097	1	370.995118379	4.31813901878816353e2	0.00000000000000000e0
SAME	dB0	dB0_euclidean	1	4097	2	366.794239688	4.31813901878816353e2	0.00000000000000000e0
SAME	dB0	dB0_euclidean	1	4097	3	369.545032951	4.31813901878816353e2	0.00000000000000000e0
